Test,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,,,,,
,25580,25041,539,0.021071149,,,,,,,,,,,,
,Bin statistics,,,,Cumulative statistics,,,,,,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings,
68,255,254,1,99.60784314,0.392156863,17394,16857,537,67.31759914,99.62894249,32.31134335,31.39106145,537000,505710,31290,
69,256,256,0,100,0,17650,17113,537,68.33992253,99.62894249,31.28901996,31.86778399,537000,513390,23610,
70,256,256,0,100,0,17906,17369,537,69.36224592,99.62894249,30.26669657,32.34450652,537000,521070,15930,
71,256,256,0,100,0,18162,17625,537,70.38456931,99.62894249,29.24437318,32.82122905,537000,528750,8250,
72,256,256,0,100,0,18418,17881,537,71.4068927,99.62894249,28.22204979,33.29795158,537000,536430,570,
73,255,255,0,100,0,18673,18136,537,72.42522263,99.62894249,27.20371985,33.77281192,537000,544080,-7080,
74,256,256,0,100,0,18929,18392,537,73.44754602,99.62894249,26.18139646,34.24953445,537000,551760,-14760,
75,256,256,0,100,0,19185,18648,537,74.46986941,99.62894249,25.15907307,34.72625698,537000,559440,-22440,
76,256,256,0,100,0,19441,18904,537,75.4921928,99.62894249,24.13674968,35.20297952,537000,567120,-30120,
77,256,256,0,100,0,19697,19160,537,76.51451619,99.62894249,23.11442629,35.67970205,537000,574800,-37800,
78,255,255,0,100,0,19952,19415,537,77.53284613,99.62894249,22.09609635,36.15456238,537000,582450,-45450,
79,256,256,0,100,0,20208,19671,537,78.55516952,99.62894249,21.07377296,36.63128492,537000,590130,-53130,
80,256,256,0,100,0,20464,19927,537,79.57749291,99.62894249,20.05144957,37.10800745,537000,597810,-60810,
81,256,256,0,100,0,20720,20183,537,80.5998163,99.62894249,19.02912618,37.58472998,537000,605490,-68490,
82,256,256,0,100,0,20976,20439,537,81.62213969,99.62894249,18.0068028,38.06145251,537000,613170,-76170,
83,255,255,0,100,0,21231,20694,537,82.64046963,99.62894249,16.98847286,38.53631285,537000,620820,-83820,
84,256,256,0,100,0,21487,20950,537,83.66279302,99.62894249,15.96614947,39.01303538,537000,628500,-91500,
85,256,256,0,100,0,21743,21206,537,84.68511641,99.62894249,14.94382608,39.48975791,537000,636180,-99180,
86,256,256,0,100,0,21999,21462,537,85.7074398,99.62894249,13.92150269,39.96648045,537000,643860,-106860,
87,256,256,0,100,0,22255,21718,537,86.72976319,99.62894249,12.8991793,40.44320298,537000,651540,-114540,
88,255,255,0,100,0,22510,21973,537,87.74809313,99.62894249,11.88084936,40.91806331,537000,659190,-122190,
89,256,256,0,100,0,22766,22229,537,88.77041652,99.62894249,10.85852597,41.39478585,537000,666870,-129870,
90,256,256,0,100,0,23022,22485,537,89.79273991,99.62894249,9.83620258,41.87150838,537000,674550,-137550,
91,256,256,0,100,0,23278,22741,537,90.8150633,99.62894249,8.81387919,42.34823091,537000,682230,-145230,
92,256,255,1,99.609375,0.390625,23534,22996,538,91.83339324,99.81447124,7.981078008,42.74349442,538000,689880,-151880,
93,255,255,0,100,0,23789,23251,538,92.85172317,99.81447124,6.962748069,43.21747212,538000,697530,-159530,
94,256,256,0,100,0,24045,23507,538,93.87404656,99.81447124,5.940424679,43.69330855,538000,705210,-167210,
95,256,255,1,99.609375,0.390625,24301,23762,539,94.8923765,100,5.107623497,44.08534323,539000,712860,-173860,
96,256,256,0,100,0,24557,24018,539,95.91469989,100,4.085300108,44.56029685,539000,720540,-181540,
97,256,256,0,100,0,24813,24274,539,96.93702328,100,3.062976718,45.03525046,539000,728220,-189220,
98,255,255,0,100,0,25068,24529,539,97.95535322,100,2.044646779,45.50834879,539000,735870,-196870,
99,256,256,0,100,0,25324,24785,539,98.97767661,100,1.02232339,45.98330241,539000,743550,-204550,
100,256,256,0,100,0,25580,25041,539,100,100,0,46.45825603,539000,751230,-212230,
