,bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,TP,TN,FN,FP,Accuracy,Misclass,FPRate,FPRatio,TPR,TNR,Precision,f1
10,10.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,1223.0,986.0,237.0,8.261416003351487,79.79797979797979,71.53656379462831,4.160337552742616,237.0,10949.0,60.0,986.0,0.9144865925441465,0.0855134074558535,0.08261416003351488,4.160337552742616,0.797979797979798,0.9173858399664852,0.1937857726901063,0.3118421052631579
11,11.0,123.0,119.0,4.0,96.7479674796748,3.2520325203252014,1346.0,1105.0,241.0,9.25848345203184,81.14478114478115,71.88629769274931,4.5850622406639,241.0,10830.0,56.0,1105.0,0.9050850228907783,0.09491497710922171,0.09258483452031839,4.5850622406639,0.8114478114478114,0.9074151654796816,0.17904903417533433,0.29336579427875836
12,12.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,1468.0,1224.0,244.0,10.25555090071219,82.15488215488216,71.89933125416997,5.016393442622951,244.0,10711.0,53.0,1224.0,0.8956017004578156,0.10439829954218444,0.10255550900712192,5.016393442622951,0.8215488215488216,0.897444490992878,0.16621253405994552,0.2764872521246459
13,13.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,1590.0,1343.0,247.0,11.252618349392543,83.16498316498317,71.91236481559062,5.437246963562753,247.0,10592.0,50.0,1343.0,0.8861183780248528,0.11388162197514716,0.11252618349392543,5.437246963562753,0.8316498316498316,0.8874738165060746,0.15534591194968553,0.26179120296767355
14,14.0,122.0,119.0,3.0,97.54098360655738,2.4590163934426243,1712.0,1462.0,250.0,12.249685798072894,84.17508417508418,71.92539837701129,5.848,250.0,10473.0,47.0,1462.0,0.8766350555918901,0.12336494440810987,0.12249685798072894,5.848,0.8417508417508418,0.877503142019271,0.14602803738317757,0.2488800398208064
15,15.0,123.0,119.0,4.0,96.7479674796748,3.2520325203252014,1835.0,1581.0,254.0,13.246753246753247,85.52188552188552,72.27513227513228,6.224409448818897,254.0,10354.0,43.0,1581.0,0.8672334859385219,0.1327665140614781,0.13246753246753246,6.224409448818897,0.8552188552188552,0.8675324675324675,0.13841961852861034,0.23827392120075047
16,16.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,1957.0,1702.0,255.0,14.260578131545874,85.85858585858585,71.59800772703998,6.674509803921569,255.0,10233.0,42.0,1702.0,0.8574231523871811,0.14257684761281883,0.14260578131545873,6.674509803921569,0.8585858585858586,0.8573942186845412,0.13030148185998977,0.22626441881100265
17,17.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2079.0,1823.0,256.0,15.2744030163385,86.1952861952862,70.9208831789477,7.12109375,256.0,10112.0,41.0,1823.0,0.8476128188358404,0.15238718116415959,0.152744030163385,7.12109375,0.8619528619528619,0.847255969836615,0.12313612313612314,0.2154882154882155
18,18.0,123.0,120.0,3.0,97.5609756097561,2.439024390243901,2202.0,1943.0,259.0,16.27984918307499,87.20538720538721,70.92553802231222,7.501930501930502,259.0,9992.0,38.0,1943.0,0.8380477436232832,0.1619522563767168,0.1627984918307499,7.501930501930502,0.8720538720538721,0.8372015081692501,0.11762034514078111,0.20728291316526612
19,19.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,2324.0,2063.0,261.0,17.285295349811477,87.87878787878788,70.5934925289764,7.904214559386973,261.0,9872.0,36.0,2063.0,0.8284009156311315,0.17159908436886853,0.17285295349811478,7.904214559386973,0.8787878787878788,0.8271470465018852,0.11230636833046471,0.19916062571537582
20,20.0,122.0,122.0,0.0,100.0,0.0,2446.0,2185.0,261.0,18.307498952660243,87.87878787878788,69.57128892612764,8.371647509578544,261.0,9750.0,36.0,2185.0,0.8184270765206016,0.1815729234793983,0.18307498952660242,8.371647509578544,0.8787878787878788,0.8169250104733976,0.10670482420278005,0.19030258840685382
21,21.0,123.0,123.0,0.0,100.0,0.0,2569.0,2308.0,261.0,19.338081273565145,87.87878787878788,68.54070660522274,8.842911877394636,261.0,9627.0,36.0,2308.0,0.8083714846304775,0.19162851536952255,0.19338081273565144,8.842911877394636,0.8787878787878788,0.8066191872643486,0.10159595173219152,0.1821353803210049
22,22.0,122.0,122.0,0.0,100.0,0.0,2691.0,2430.0,261.0,20.36028487641391,87.87878787878788,67.51850300237396,9.310344827586206,261.0,9505.0,36.0,2430.0,0.7983976455199476,0.20160235448005231,0.2036028487641391,9.310344827586206,0.8787878787878788,0.796397151235861,0.09698996655518395,0.17469879518072287
23,23.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,2813.0,2551.0,262.0,21.374109761206537,88.21548821548822,66.84137845428168,9.736641221374045,262.0,9384.0,35.0,2551.0,0.788587311968607,0.21141268803139307,0.21374109761206536,9.736641221374045,0.8821548821548821,0.7862589023879346,0.0931389975115535,0.16848874598070737
24,24.0,123.0,123.0,0.0,100.0,0.0,2936.0,2674.0,262.0,22.40469208211144,88.21548821548822,65.81079613337678,10.206106870229007,262.0,9261.0,35.0,2674.0,0.7785317200784827,0.22146827992151732,0.22404692082111438,10.206106870229007,0.8821548821548821,0.7759530791788857,0.08923705722070845,0.1620785648004949
25,25.0,122.0,122.0,0.0,100.0,0.0,3058.0,2796.0,262.0,23.4268956849602,88.21548821548822,64.78859253052802,10.67175572519084,262.0,9139.0,35.0,2796.0,0.7685578809679529,0.2314421190320471,0.234268956849602,10.67175572519084,0.8821548821548821,0.765731043150398,0.08567691301504252,0.15618479880774963
26,26.0,122.0,122.0,0.0,100.0,0.0,3180.0,2918.0,262.0,24.449099287808966,88.21548821548822,63.76638892767926,11.13740458015267,262.0,9017.0,35.0,2918.0,0.7585840418574231,0.24141595814257685,0.24449099287808965,11.13740458015267,0.8821548821548821,0.7555090071219104,0.08238993710691823,0.15070463042853033
27,27.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,3303.0,3040.0,263.0,25.47130289065773,88.55218855218855,63.08088566153083,11.55893536121673,263.0,8895.0,34.0,3040.0,0.7486919555264879,0.2513080444735121,0.2547130289065773,11.55893536121673,0.8855218855218855,0.7452869710934227,0.07962458371177718,0.14611111111111114
28,28.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,3425.0,3161.0,264.0,26.485127775450355,88.88888888888889,62.403761113438534,11.973484848484848,264.0,8774.0,33.0,3161.0,0.7388816219751472,0.2611183780248528,0.26485127775450357,11.973484848484848,0.8888888888888888,0.7351487222454964,0.07708029197080292,0.1418592154755508
29,29.0,122.0,122.0,0.0,100.0,0.0,3547.0,3283.0,264.0,27.50733137829912,88.88888888888889,61.381557510589765,12.43560606060606,264.0,8652.0,33.0,3283.0,0.7289077828646174,0.2710922171353826,0.2750733137829912,12.43560606060606,0.8888888888888888,0.7249266862170088,0.0744290950098675,0.13735691987513007
30,30.0,123.0,123.0,0.0,100.0,0.0,3670.0,3406.0,264.0,28.537913699204022,88.88888888888889,60.35097518968486,12.901515151515152,264.0,8529.0,33.0,3406.0,0.7188521909744932,0.28114780902550685,0.2853791369920402,12.901515151515152,0.8888888888888888,0.7146208630079598,0.07193460490463215,0.13309805898663976
31,31.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,3792.0,3526.0,266.0,29.543359865940513,89.56228956228956,60.01892969634905,13.25563909774436,266.0,8409.0,31.0,3526.0,0.7092053629823414,0.2907946370176586,0.2954335986594051,13.25563909774436,0.8956228956228957,0.7045664013405949,0.07014767932489452,0.13010516018586452
32,32.0,122.0,122.0,0.0,100.0,0.0,3914.0,3648.0,266.0,30.565563468789275,89.56228956228956,58.996726093500286,13.714285714285714,266.0,8287.0,31.0,3648.0,0.6992315238718116,0.30076847612818836,0.30565563468789275,13.714285714285714,0.8956228956228957,0.6943443653121072,0.06796116504854369,0.12633578722393732
33,33.0,123.0,121.0,2.0,98.3739837398374,1.6260162601626007,4037.0,3769.0,268.0,31.5793883535819,90.23569023569024,58.65630188210834,14.063432835820896,268.0,8166.0,29.0,3769.0,0.6895029431000654,0.3104970568999346,0.315793883535819,14.063432835820896,0.9023569023569024,0.684206116464181,0.06638593014614813,0.12367328103368712
34,34.0,122.0,120.0,2.0,98.36065573770492,1.639344262295083,4159.0,3889.0,270.0,32.58483452031839,90.9090909090909,58.32425638877252,14.403703703703703,270.0,8046.0,27.0,3889.0,0.6798561151079137,0.32014388489208634,0.3258483452031839,14.403703703703703,0.9090909090909091,0.674151654796816,0.06491945179129599,0.12118491921005388
35,35.0,122.0,122.0,0.0,100.0,0.0,4281.0,4011.0,270.0,33.60703812316716,90.9090909090909,57.30205278592375,14.855555555555556,270.0,7924.0,27.0,4011.0,0.6698822759973839,0.3301177240026161,0.33607038123167154,14.855555555555556,0.9090909090909091,0.6639296187683285,0.06306937631394534,0.11795543905635648
36,36.0,123.0,123.0,0.0,100.0,0.0,4404.0,4134.0,270.0,34.637620444072056,90.9090909090909,56.27147046501885,15.311111111111112,270.0,7801.0,27.0,4134.0,0.6598266841072596,0.34017331589274036,0.3463762044407206,15.311111111111112,0.9090909090909091,0.6536237955592794,0.06130790190735695,0.11486917677089982
37,37.0,122.0,122.0,0.0,100.0,0.0,4526.0,4256.0,270.0,35.65982404692082,90.9090909090909,55.24926686217009,15.762962962962963,270.0,7679.0,27.0,4256.0,0.6498528449967299,0.3501471550032701,0.35659824046920824,15.762962962962963,0.9090909090909091,0.6434017595307918,0.05965532479010163,0.11196350818992329
38,38.0,122.0,122.0,0.0,100.0,0.0,4648.0,4378.0,270.0,36.68202764976959,90.9090909090909,54.22706325932132,16.214814814814815,270.0,7557.0,27.0,4378.0,0.6398790058862002,0.3601209941137999,0.36682027649769583,16.214814814814815,0.9090909090909091,0.6331797235023041,0.058089500860585196,0.10920121334681497
39,39.0,122.0,122.0,0.0,100.0,0.0,4770.0,4500.0,270.0,37.70423125261835,90.9090909090909,53.20485965647256,16.666666666666668,270.0,7435.0,27.0,4500.0,0.6299051667756703,0.3700948332243296,0.3770423125261835,16.666666666666668,0.9090909090909091,0.6229576874738165,0.05660377358490566,0.10657193605683837
40,40.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,4893.0,4622.0,271.0,38.72643485546711,91.24579124579125,52.51935639032414,17.055350553505534,271.0,7313.0,26.0,4622.0,0.6200130804447351,0.37998691955526487,0.3872643485546711,17.055350553505534,0.9124579124579124,0.6127356514453288,0.055385244226445945,0.10443159922928709
41,41.0,122.0,122.0,0.0,100.0,0.0,5015.0,4744.0,271.0,39.74863845831588,91.24579124579125,51.49715278747537,17.505535055350553,271.0,7191.0,26.0,4744.0,0.6100392413342054,0.38996075866579466,0.39748638458315877,17.505535055350553,0.9124579124579124,0.6025136154168412,0.054037886340977066,0.10203313253012047
42,42.0,122.0,122.0,0.0,100.0,0.0,5137.0,4866.0,271.0,40.77084206116464,91.24579124579125,50.47494918462661,17.95571955719557,271.0,7069.0,26.0,4866.0,0.6000654022236757,0.3999345977763244,0.4077084206116464,17.95571955719557,0.9124579124579124,0.5922915793883535,0.0527545259879307,0.09974236290025763
43,43.0,123.0,123.0,0.0,100.0,0.0,5260.0,4989.0,271.0,41.80142438206954,91.24579124579125,49.44436686372171,18.40959409594096,271.0,6946.0,26.0,4989.0,0.5900098103335514,0.4099901896664487,0.4180142438206954,18.40959409594096,0.9124579124579124,0.5819857561793046,0.05152091254752852,0.09753464099334173
44,44.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,5382.0,5110.0,272.0,42.81524926686217,91.58249158249158,48.76724231562942,18.78676470588235,272.0,6825.0,25.0,5110.0,0.5801994767822106,0.4198005232177894,0.4281524926686217,18.78676470588235,0.9158249158249159,0.5718475073313783,0.0505388331475288,0.09579151259024477
45,45.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,5504.0,5231.0,273.0,43.829074151654794,91.91919191919192,48.09011776753712,19.16117216117216,273.0,6704.0,24.0,5231.0,0.5703891432308699,0.42961085676913013,0.43829074151654795,19.16117216117216,0.9191919191919192,0.561709258483452,0.049600290697674417,0.09412170315462849
46,46.0,123.0,122.0,1.0,99.1869918699187,0.8130081300813004,5627.0,5353.0,274.0,44.85127775450356,92.25589225589225,47.404614501388686,19.536496350364963,274.0,6582.0,23.0,5353.0,0.5604970568999346,0.4395029431000654,0.4485127775450356,19.536496350364963,0.9225589225589226,0.5514872224549644,0.04869379776079616,0.0925050641458474
47,47.0,122.0,122.0,0.0,100.0,0.0,5749.0,5475.0,274.0,45.873481357352325,92.25589225589225,46.38241089853992,19.98175182481752,274.0,6460.0,23.0,5475.0,0.5505232177894048,0.44947678221059517,0.45873481357352325,19.98175182481752,0.9225589225589226,0.5412651864264767,0.04766046268916333,0.09063843863711545
48,48.0,122.0,122.0,0.0,100.0,0.0,5871.0,5597.0,274.0,46.89568496020109,92.25589225589225,45.36020729569116,20.427007299270073,274.0,6338.0,23.0,5597.0,0.5405493786788751,0.4594506213211249,0.4689568496020109,20.427007299270073,0.9225589225589226,0.5310431503979891,0.04667007324135582,0.08884565499351492
49,49.0,123.0,123.0,0.0,100.0,0.0,5994.0,5720.0,274.0,47.92626728110599,92.25589225589225,44.329624974786256,20.875912408759124,274.0,6215.0,23.0,5720.0,0.5304937867887508,0.4695062132112492,0.4792626728110599,20.875912408759124,0.9225589225589226,0.5207373271889401,0.045712379045712376,0.08710856779526306
50,50.0,122.0,122.0,0.0,100.0,0.0,6116.0,5842.0,274.0,48.948470883954755,92.25589225589225,43.307421371937494,21.32116788321168,274.0,6093.0,23.0,5842.0,0.5205199476782211,0.4794800523217789,0.48948470883954753,21.32116788321168,0.9225589225589226,0.5105152911604525,0.044800523217789406,0.08545142678933416
51,51.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6238.0,5963.0,275.0,49.96229576874738,92.5925925925926,42.630296823845214,21.683636363636364,275.0,5972.0,22.0,5963.0,0.5107096141268803,0.4892903858731197,0.49962295768747383,21.683636363636364,0.9259259259259259,0.5003770423125262,0.04408464251362616,0.08416220351951031
52,52.0,123.0,123.0,0.0,100.0,0.0,6361.0,6086.0,275.0,50.99287808965229,92.5925925925926,41.59971450294031,22.130909090909093,275.0,5849.0,22.0,6086.0,0.500654022236756,0.49934597776324396,0.5099287808965228,22.130909090909093,0.9259259259259259,0.4900712191034772,0.04323219619556674,0.08260738960648843
53,53.0,122.0,121.0,1.0,99.18032786885246,0.8196721311475414,6483.0,6207.0,276.0,52.00670297444491,92.92929292929293,40.922589954848014,22.48913043478261,276.0,5728.0,21.0,6207.0,0.4908436886854153,0.5091563113145847,0.5200670297444491,22.48913043478261,0.9292929292929293,0.47993297025555093,0.04257288292457196,0.08141592920353984
