Train,# Records,# Goods,# Bads,Fraud Rate,,,,,,,,,,,
,59684,58473,1211,0.020290195,,,,,,,,,,,
,Bin statistics,,,,,Cumulative statistics,,,,,,,,,
bin,#recs,#g,#b,%g,%b,tot,cg,cb,%cg,FDR,KS,FPR,Fraud Savings,FP Loss,Overall Savings
86,597,597,0,100,0,51328,50117,1211,85.70964377,100,14.29035623,41.38480595,1211000,1503510,-292510
87,597,597,0,100,0,51925,50714,1211,86.73062781,100,13.26937219,41.87778695,1211000,1521420,-310420
88,597,597,0,100,0,52522,51311,1211,87.75161186,100,12.24838814,42.37076796,1211000,1539330,-328330
89,597,597,0,100,0,53119,51908,1211,88.7725959,100,11.2274041,42.86374897,1211000,1557240,-346240
90,597,597,0,100,0,53716,52505,1211,89.79357994,100,10.20642006,43.35672998,1211000,1575150,-364150
91,596,596,0,100,0,54312,53101,1211,90.8128538,100,9.187146204,43.84888522,1211000,1593030,-382030
92,597,597,0,100,0,54909,53698,1211,91.83383784,100,8.16616216,44.34186623,1211000,1610940,-399940
93,597,597,0,100,0,55506,54295,1211,92.85482188,100,7.145178116,44.83484723,1211000,1628850,-417850
94,597,597,0,100,0,56103,54892,1211,93.87580593,100,6.124194072,45.32782824,1211000,1646760,-435760
95,597,597,0,100,0,56700,55489,1211,94.89678997,100,5.103210029,45.82080925,1211000,1664670,-453670
96,597,597,0,100,0,57297,56086,1211,95.91777402,100,4.082225985,46.31379026,1211000,1682580,-471580
97,596,596,0,100,0,57893,56682,1211,96.93704787,100,3.062952132,46.8059455,1211000,1700460,-489460
98,597,597,0,100,0,58490,57279,1211,97.95803191,100,2.041968088,47.29892651,1211000,1718370,-507370
99,597,597,0,100,0,59087,57876,1211,98.97901596,100,1.020984044,47.79190751,1211000,1736280,-525280
100,597,597,0,100,0,59684,58473,1211,100,100,0,48.28488852,1211000,1754190,-543190
